transaction_id,user_id,product_id,quantity,unit_price,amount,timestamp,payment_method,status
cf40268c-cb3a-4d96-98d1-aef1a2610257,user_000445,product_0094,1,226.54,226.54,2025-10-22 23:30:40.562860,paypal,completed
f487f4ce-e20e-4a24-a74e-65bff19f48e6,user_000445,product_0003,1,588.43,588.43,2025-10-22 23:30:40.562860,paypal,cancelled
86142f38-c195-442c-ad8a-ad7e08f16514,user_000218,product_0053,1,879.67,879.67,2025-10-22 23:30:40.562860,gift_card,pending
796a9818-9ade-44de-ac6d-ca5257d050cf,user_000218,product_0007,2,344.76,689.52,2025-10-22 23:30:40.562860,debit_card,completed
7c7519b7-5fbc-4473-a136-a1f40435aa87,user_000499,product_0047,3,185.1,555.3,2025-10-22 23:32:40.562860,paypal,completed
088fc1e1-931a-4fd8-850b-bc4fa56dbdb2,user_000623,product_0077,1,524.07,524.07,2025-10-22 23:49:40.562860,paypal,completed
b849acf1-b41d-42c5-ac2f-746ad303e1df,user_000469,product_0190,1,175.8,175.8,2025-10-22 23:51:40.562860,debit_card,completed
d327aa97-22be-4e23-8ba9-e5324f94f545,user_000684,product_0160,1,543.6,543.6,2025-10-22 23:55:40.562860,credit_card,completed
57d90d12-7c06-44aa-bab5-1e50f2c9cc0f,user_000684,product_0174,1,177.39,177.39,2025-10-22 23:55:40.562860,debit_card,completed
44b74a0b-eb08-4c43-80dd-7f644acc2c22,user_000155,product_0196,1,304.32,304.32,2025-10-22 23:57:40.562860,debit_card,completed
849b25b6-ad07-4055-b854-a254e35b8688,user_000155,product_0147,2,495.11,990.22,2025-10-22 23:57:40.562860,credit_card,completed
e42ef1b2-0c8b-4152-974c-8860f2fb62c6,user_000155,product_0053,3,793.68,2381.04,2025-10-22 23:57:40.562860,credit_card,completed
d25b53f5-06ed-46bb-a6cb-e50ad3501f5b,user_000155,product_0158,1,663.73,663.73,2025-10-22 23:57:40.562860,credit_card,completed
cb34dc5e-e21e-419b-a368-d3c1fd0a5f40,user_000155,product_0020,2,912.9,1825.8,2025-10-22 23:57:40.562860,paypal,completed
